COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,OBSERVER ID,code,group,YEAR
Swamp Sparrow,38.5261232,-121.7925239,2014-01-16,obsr270450,4.0,PASSERIFORMES,2014
Sage Thrasher,38.5483668,-121.6266346,2014-01-18,obsr113683,4.0,PASSERIFORMES,2014
Horned Grebe,38.49745,-122.0349848,2014-01-29,obsr211538,4.0,PODICIPEDIFORMES,2014
Harris's Sparrow,38.5640037,-121.7477685,2014-02-01,obsr34154,4.0,PASSERIFORMES,2014
Red-naped Sapsucker,38.6895296,-121.8726683,2014-02-23,obsr30058,4.0,PICIFORMES,2014
Black-throated Sparrow,38.7481312,-121.695385,2014-03-08,obsr189581,5.0,PASSERIFORMES,2014
Solitary Sandpiper,38.551789,-121.6208018,2014-03-25,obsr86442,4.0,CHARADRIIFORMES,2014
Lawrence's Goldfinch,38.6955923,-122.1182084,2014-03-28,obsr278024,4.0,PASSERIFORMES,2014
Grasshopper Sparrow,38.7741314,-122.1762836,2014-04-05,obsr226854,4.0,PASSERIFORMES,2014
Marsh Sandpiper,38.3263978,-121.6909647,2014-04-11,obsr18161,5.0,CHARADRIIFORMES,2014
Steller's Jay,38.9063464,-122.3107481,2014-04-12,obsr34154,4.0,PASSERIFORMES,2014
Snowy Plover,38.6657506,-121.7174863,2014-05-02,obsr221174,4.0,CHARADRIIFORMES,2014
Franklin's Gull,38.6657506,-121.7174863,2014-05-05,obsr509813,4.0,CHARADRIIFORMES,2014
Gray Flycatcher,38.5606499,-121.7164564,2014-05-13,obsr678154,4.0,PASSERIFORMES,2014
Black-and-white Warbler,38.6022493,-121.5788269,2014-05-24,obsr678154,4.0,PASSERIFORMES,2014
Indigo Bunting,38.6022493,-121.5788269,2014-05-25,obsr196689,4.0,PASSERIFORMES,2014
American Golden-Plover,38.6657506,-121.7174863,2014-06-24,obsr131624,4.0,CHARADRIIFORMES,2014
Glossy Ibis,38.5836668,-121.6371918,2014-06-27,obsr196689,5.0,PELECANIFORMES,2014
Sanderling,38.5930928,-121.6697216,2014-07-21,obsr293781,4.0,CHARADRIIFORMES,2014
Stilt Sandpiper,38.551789,-121.6208018,2014-07-23,obsr196689,4.0,CHARADRIIFORMES,2014
Allen's Hummingbird,38.5676798,-121.7640603,2014-07-28,obsr131624,4.0,CAPRIMULGIFORMES,2014
Ruddy Turnstone,38.551789,-121.6208018,2014-08-03,obsr298232,4.0,CHARADRIIFORMES,2014
Northern Waterthrush,38.5271852,-121.8034887,2014-09-01,obsr159137,4.0,PASSERIFORMES,2014
Blackpoll Warbler,38.5271852,-121.8034887,2014-09-07,obsr18161,4.0,PASSERIFORMES,2014
Tennessee Warbler,38.5271852,-121.8034887,2014-09-16,obsr51532,4.0,PASSERIFORMES,2014
Chestnut-backed Chickadee,38.5271852,-121.8034887,2014-09-16,obsr51532,4.0,PASSERIFORMES,2014
American Redstart,38.525432,-121.790527,2014-09-21,obsr107181,4.0,PASSERIFORMES,2014
Pectoral Sandpiper,38.541721,-121.9916725,2014-09-21,obsr196689,4.0,CHARADRIIFORMES,2014
Cassin's Finch,38.5606499,-121.7164564,2014-10-22,obsr678154,4.0,PASSERIFORMES,2014
Townsend's Solitaire,38.6987658,-121.9026607,2014-12-27,obsr176000,4.0,PASSERIFORMES,2014
Red-breasted Merganser,38.5416454,-121.578548,2014-12-31,obsr199985,4.0,ANSERIFORMES,2014
Black-and-white Warbler,38.4795151,-121.5519791,2015-01-01,obsr51532,4.0,PASSERIFORMES,2015
Steller's Jay,38.4934698,-122.0283759,2015-01-01,obsr164607,4.0,PASSERIFORMES,2015
Horned Grebe,38.562462,-121.553936,2015-01-02,obsr86442,4.0,PODICIPEDIFORMES,2015
Chestnut-backed Chickadee,38.5481701,-121.756623,2015-01-04,obsr270422,4.0,PASSERIFORMES,2015
Cassin's Finch,38.5681239,-121.7485571,2015-01-06,obsr131624,4.0,PASSERIFORMES,2015
Harris's Sparrow,38.5640037,-121.7477685,2015-01-07,obsr34154,4.0,PASSERIFORMES,2015
Rough-legged Hawk,38.5943339,-121.7146111,2015-01-08,obsr163782,4.0,ACCIPITRIFORMES,2015
Evening Grosbeak,38.6862509,-121.7684242,2015-01-16,obsr130910,4.0,PASSERIFORMES,2015
Swamp Sparrow,38.551789,-121.6208018,2015-01-23,obsr221161,4.0,PASSERIFORMES,2015
Mountain Plover,38.9212225,-121.8994904,2015-01-29,obsr61374,4.0,CHARADRIIFORMES,2015
Costa's Hummingbird,38.5309118,-121.7603159,2015-03-07,obsr290920,4.0,CAPRIMULGIFORMES,2015
Lawrence's Goldfinch,38.709269,-122.07085,2015-03-14,obsr171564,4.0,PASSERIFORMES,2015
Solitary Sandpiper,38.551789,-121.6208018,2015-04-08,obsr92733,4.0,CHARADRIIFORMES,2015
Gray Flycatcher,38.551789,-121.6208018,2015-04-16,obsr531324,4.0,PASSERIFORMES,2015
Calliope Hummingbird,38.5713205,-121.7611313,2015-04-21,obsr131624,4.0,CAPRIMULGIFORMES,2015
Grasshopper Sparrow,38.6180441,-122.0065749,2015-04-24,obsr34738,4.0,PASSERIFORMES,2015
Clay-colored Sparrow,38.551789,-121.6208018,2015-04-27,obsr221161,4.0,PASSERIFORMES,2015
Brewer's Sparrow,38.551789,-121.6208018,2015-05-01,obsr531324,4.0,PASSERIFORMES,2015
Brown Pelican,38.5395223,-121.5380573,2015-05-12,obsr123202,4.0,PELECANIFORMES,2015
Least Tern,38.551789,-121.6208018,2015-06-04,obsr60400,5.0,CHARADRIIFORMES,2015
Red-eyed Vireo,38.6828968,-121.8842554,2015-06-08,obsr130910,5.0,PASSERIFORMES,2015
Allen's Hummingbird,38.793369,-121.8347526,2015-06-21,obsr170034,4.0,CAPRIMULGIFORMES,2015
Northern Parula,38.6022493,-121.5788269,2015-06-29,obsr131624,4.0,PASSERIFORMES,2015
Ruff,38.5836668,-121.6371918,2015-06-29,obsr508577,4.0,CHARADRIIFORMES,2015
Snowy Plover,38.551789,-121.6208018,2015-07-14,obsr131624,4.0,CHARADRIIFORMES,2015
Pectoral Sandpiper,38.55268,-121.62105,2015-07-18,obsr96124,4.0,CHARADRIIFORMES,2015
Pacific Golden-Plover,38.551789,-121.6208018,2015-07-25,obsr153397,4.0,CHARADRIIFORMES,2015
Sanderling,38.6657506,-121.7174863,2015-08-07,obsr293781,4.0,CHARADRIIFORMES,2015
Indigo Bunting,38.551789,-121.6208018,2015-08-08,obsr531324,4.0,PASSERIFORMES,2015
Green-tailed Towhee,38.5271852,-121.8034887,2015-08-22,obsr153397,4.0,PASSERIFORMES,2015
Blackpoll Warbler,38.5271852,-121.8034887,2015-09-12,obsr153397,4.0,PASSERIFORMES,2015
Chimney Swift,38.4795151,-121.5519791,2015-09-13,obsr51532,5.0,CAPRIMULGIFORMES,2015
Black Turnstone,38.6657506,-121.7174863,2015-09-15,obsr51532,5.0,CHARADRIIFORMES,2015
Red Knot,38.6657506,-121.7174863,2015-09-18,obsr165010,4.0,CHARADRIIFORMES,2015
Glossy Ibis,38.551789,-121.6208018,2015-09-18,obsr51532,5.0,PELECANIFORMES,2015
Black-chinned Sparrow,38.4795151,-121.5519791,2015-09-30,obsr293781,4.0,PASSERIFORMES,2015
Common Tern,38.4377242,-121.5530777,2015-10-08,obsr14968,4.0,CHARADRIIFORMES,2015
Red-naped Sapsucker,38.51493,-122.0931244,2015-12-16,obsr247208,4.0,PICIFORMES,2015
Lesser Black-backed Gull,38.5934618,-121.6840553,2015-12-30,obsr131624,4.0,CHARADRIIFORMES,2015
Mountain Plover,38.6197787,-121.7203617,2016-01-02,obsr131624,4.0,CHARADRIIFORMES,2016
Pacific Golden-Plover,38.5483668,-121.6266346,2016-01-03,obsr220088,4.0,CHARADRIIFORMES,2016
Rough-legged Hawk,38.641499,-121.824237,2016-01-10,obsr98040,4.0,ACCIPITRIFORMES,2016
Steller's Jay,38.5160087,-122.0638856,2016-01-13,obsr86453,4.0,PASSERIFORMES,2016
Black-chinned Sparrow,38.4795151,-121.5519791,2016-01-14,obsr447908,4.0,PASSERIFORMES,2016
Evening Grosbeak,38.5713205,-121.7611313,2016-01-23,obsr131624,4.0,PASSERIFORMES,2016
Lawrence's Goldfinch,38.6955923,-122.1182084,2016-01-24,obsr131624,4.0,PASSERIFORMES,2016
Chestnut-backed Chickadee,38.5489849,-121.7510414,2016-01-25,obsr509813,4.0,PASSERIFORMES,2016
Horned Grebe,38.5836668,-121.6371918,2016-01-25,obsr164607,4.0,PODICIPEDIFORMES,2016
Swamp Sparrow,38.5751118,-121.645453,2016-02-07,obsr505114,4.0,PASSERIFORMES,2016
Lesser Black-backed Gull,38.5904429,-121.6820168,2016-03-04,obsr131624,4.0,CHARADRIIFORMES,2016
Glossy Ibis,38.5615209,-121.6095744,2016-04-03,obsr358418,5.0,PELECANIFORMES,2016
Solitary Sandpiper,38.5483668,-121.6266346,2016-04-04,obsr664993,4.0,CHARADRIIFORMES,2016
Gray Flycatcher,38.5606499,-121.7164564,2016-04-12,obsr678154,4.0,PASSERIFORMES,2016
Townsend's Solitaire,38.551789,-121.6208018,2016-04-16,obsr526055,4.0,PASSERIFORMES,2016
Marsh Sandpiper,38.5483668,-121.6266346,2016-04-16,obsr60422,5.0,CHARADRIIFORMES,2016
Ruff,38.5204031,-121.6156054,2016-04-19,obsr110657,4.0,CHARADRIIFORMES,2016
Snowy Plover,38.5409489,-121.6210127,2016-04-19,obsr110657,4.0,CHARADRIIFORMES,2016
Franklin's Gull,38.5930928,-121.6697216,2016-04-28,obsr509813,4.0,CHARADRIIFORMES,2016
Grasshopper Sparrow,38.551789,-121.6208018,2016-06-29,obsr230597,4.0,PASSERIFORMES,2016
Allen's Hummingbird,38.5713205,-121.7611313,2016-07-15,obsr131624,4.0,CAPRIMULGIFORMES,2016
Summer Tanager,38.525432,-121.790527,2016-08-05,obsr199985,4.0,PASSERIFORMES,2016
Least Flycatcher,38.3811618,-121.5423918,2016-08-28,obsr14968,4.0,PASSERIFORMES,2016
Pectoral Sandpiper,38.551789,-121.6208018,2016-08-31,obsr131624,4.0,CHARADRIIFORMES,2016
Long-tailed Jaeger,38.551789,-121.6208018,2016-09-02,obsr199985,5.0,CHARADRIIFORMES,2016
Ovenbird,38.6880222,-121.7736143,2016-09-18,obsr439041,5.0,PASSERIFORMES,2016
Plumbeous Vireo,38.5713205,-121.7611313,2016-09-22,obsr86452,4.0,PASSERIFORMES,2016
Blackpoll Warbler,38.4795151,-121.5519791,2016-09-23,obsr397554,4.0,PASSERIFORMES,2016
American Redstart,38.4795151,-121.5519791,2016-10-02,obsr293781,4.0,PASSERIFORMES,2016
Yellow-bellied Sapsucker,38.7141447,-122.1573611,2016-11-05,obsr131624,4.0,PICIFORMES,2016
Surf Scoter,38.915229,-122.3235154,2016-11-12,obsr617131,4.0,ANSERIFORMES,2016
Red Phalarope,38.551789,-121.6208018,2016-11-27,obsr213771,4.0,CHARADRIIFORMES,2016
Rough-legged Hawk,38.8756659,-122.02034,2017-01-01,obsr423153,4.0,ACCIPITRIFORMES,2017
Mountain Plover,38.5660632,-121.6933012,2017-01-02,obsr189581,4.0,CHARADRIIFORMES,2017
Trumpeter Swan,38.8347148,-121.7431068,2017-01-05,obsr131624,5.0,ANSERIFORMES,2017
Lawrence's Goldfinch,38.6895296,-121.8726683,2017-01-09,obsr416741,4.0,PASSERIFORMES,2017
Townsend's Solitaire,38.9085201,-122.3119873,2017-01-15,obsr91485,4.0,PASSERIFORMES,2017
Horned Grebe,38.562462,-121.553936,2017-01-21,obsr509813,4.0,PODICIPEDIFORMES,2017
Sage Thrasher,38.6427855,-121.8216634,2017-01-27,obsr834801,4.0,PASSERIFORMES,2017
Surf Scoter,38.541721,-121.9916725,2017-02-03,obsr617928,4.0,ANSERIFORMES,2017
Common Loon,38.5416454,-121.578548,2017-02-05,obsr166950,4.0,GAVIIFORMES,2017
Steller's Jay,38.8080118,-122.2295952,2017-02-11,obsr199985,4.0,PASSERIFORMES,2017
Snowy Plover,38.5416454,-121.578548,2017-03-22,obsr447908,4.0,CHARADRIIFORMES,2017
Grasshopper Sparrow,38.5361226,-121.5233669,2017-04-01,obsr1196684,4.0,PASSERIFORMES,2017
Sabine's Gull,38.6657506,-121.7174863,2017-04-07,obsr834801,4.0,CHARADRIIFORMES,2017
Gray Flycatcher,38.5713205,-121.7611313,2017-04-09,obsr834801,4.0,PASSERIFORMES,2017
Pectoral Sandpiper,38.5751454,-121.6603661,2017-04-27,obsr220088,4.0,CHARADRIIFORMES,2017
Solitary Sandpiper,38.5751454,-121.6603661,2017-04-28,obsr220088,4.0,CHARADRIIFORMES,2017
Stilt Sandpiper,38.5930928,-121.6697216,2017-05-07,obsr131624,4.0,CHARADRIIFORMES,2017
Red Knot,38.5930928,-121.6697216,2017-05-10,obsr637946,4.0,CHARADRIIFORMES,2017
Baltimore Oriole,38.5035727,-121.9882446,2017-05-26,obsr14968,4.0,PASSERIFORMES,2017
Northern Parula,38.5271852,-121.8034887,2017-05-28,obsr505871,4.0,PASSERIFORMES,2017
Orchard Oriole,38.525432,-121.790527,2017-05-31,obsr1619,5.0,PASSERIFORMES,2017
Black Skimmer,38.551789,-121.6208018,2017-07-04,obsr86452,5.0,CHARADRIIFORMES,2017
Summer Tanager,38.6828968,-121.8842554,2017-08-05,obsr131624,4.0,PASSERIFORMES,2017
Gray Catbird,38.6828968,-121.8842554,2017-08-13,obsr416741,5.0,PASSERIFORMES,2017
Hooded Warbler,38.5713205,-121.7611313,2017-08-16,obsr417931,5.0,PASSERIFORMES,2017
Brewer's Sparrow,38.5670752,-121.7607294,2017-09-01,obsr548564,4.0,PASSERIFORMES,2017
Green-tailed Towhee,38.4795151,-121.5519791,2017-09-01,obsr199985,4.0,PASSERIFORMES,2017
Tennessee Warbler,38.6828968,-121.8842554,2017-09-06,obsr130910,4.0,PASSERIFORMES,2017
Clay-colored Sparrow,38.551789,-121.6208018,2017-09-09,obsr531324,4.0,PASSERIFORMES,2017
Lark Bunting,38.7618974,-121.6576195,2017-09-12,obsr199985,4.0,PASSERIFORMES,2017
Blackpoll Warbler,38.7485278,-121.6298251,2017-09-14,obsr509813,4.0,PASSERIFORMES,2017
Chestnut-sided Warbler,38.5271852,-121.8034887,2017-09-15,obsr509813,4.0,PASSERIFORMES,2017
Indigo Bunting,38.525432,-121.790527,2017-09-15,obsr678154,4.0,PASSERIFORMES,2017
Chestnut-backed Chickadee,38.5271852,-121.8034887,2017-10-01,obsr152314,4.0,PASSERIFORMES,2017
Cassin's Finch,38.5606499,-121.7164564,2017-10-01,obsr678154,4.0,PASSERIFORMES,2017
Evening Grosbeak,38.5670752,-121.7607294,2017-10-12,obsr548564,4.0,PASSERIFORMES,2017
Sagebrush Sparrow,38.618775,-121.7009125,2017-10-20,obsr247208,5.0,PASSERIFORMES,2017
Pacific Golden-Plover,38.551789,-121.6208018,2017-11-03,obsr60422,4.0,CHARADRIIFORMES,2017
Red-naped Sapsucker,38.4795151,-121.5519791,2017-11-19,obsr199985,4.0,PICIFORMES,2017
Franklin's Gull,38.6657506,-121.7174863,2017-11-20,obsr55174,4.0,CHARADRIIFORMES,2017
Palm Warbler,38.6657506,-121.7174863,2017-11-24,obsr660372,5.0,PASSERIFORMES,2017
Swamp Sparrow,38.551789,-121.6208018,2017-11-25,obsr131624,4.0,PASSERIFORMES,2017
Yellow-bellied Sapsucker,38.5189593,-121.6950417,2017-12-14,obsr194866,4.0,PICIFORMES,2017
Citrine Wagtail,38.551789,-121.6208018,2017-12-15,obsr306602,5.0,PASSERIFORMES,2017
Lesser Black-backed Gull,38.5904429,-121.6820168,2017-12-17,obsr285270,4.0,CHARADRIIFORMES,2017
Swamp Sparrow,38.551789,-121.6208018,2018-01-02,obsr16674,4.0,PASSERIFORMES,2018
Northern Waterthrush,38.5133629,-122.095626,2018-01-04,obsr509813,4.0,PASSERIFORMES,2018
Curve-billed Thrasher,38.6636272,-121.7365636,2018-01-08,obsr951664,5.0,PASSERIFORMES,2018
Palm Warbler,38.6657506,-121.7174863,2018-01-09,obsr336394,5.0,PASSERIFORMES,2018
Chestnut-backed Chickadee,38.8080118,-122.2295952,2018-01-10,obsr1175781,4.0,PASSERIFORMES,2018
Rough-legged Hawk,38.7663178,-121.9885225,2018-01-13,obsr199985,4.0,ACCIPITRIFORMES,2018
Lawrence's Goldfinch,38.6955923,-122.1182084,2018-01-13,obsr131624,4.0,PASSERIFORMES,2018
Horned Grebe,38.5930928,-121.6697216,2018-01-14,obsr220088,4.0,PODICIPEDIFORMES,2018
Steller's Jay,38.8904984,-122.3169923,2018-01-22,obsr946849,4.0,PASSERIFORMES,2018
Sage Thrasher,38.5606499,-121.7164564,2018-02-08,obsr336394,4.0,PASSERIFORMES,2018
Pacific Golden-Plover,38.551789,-121.6208018,2018-02-10,obsr131624,4.0,CHARADRIIFORMES,2018
Stilt Sandpiper,38.551789,-121.6208018,2018-02-12,obsr220088,4.0,CHARADRIIFORMES,2018
Ruff,38.5483668,-121.6266346,2018-02-17,obsr86424,4.0,CHARADRIIFORMES,2018
Red-naped Sapsucker,38.49745,-122.0349848,2018-02-21,obsr509813,4.0,PICIFORMES,2018
Harris's Sparrow,38.5164914,-122.0607769,2018-04-03,obsr946849,4.0,PASSERIFORMES,2018
Marsh Sandpiper,38.551789,-121.6208018,2018-04-07,obsr1046742,5.0,CHARADRIIFORMES,2018
Grasshopper Sparrow,38.458526,-121.675276,2018-04-08,obsr199985,4.0,PASSERIFORMES,2018
Calliope Hummingbird,38.5309118,-121.7603159,2018-04-13,obsr672779,4.0,CAPRIMULGIFORMES,2018
Plumbeous Vireo,38.5489849,-121.7510414,2018-04-18,obsr509813,4.0,PASSERIFORMES,2018
Snowy Plover,38.5930928,-121.6697216,2018-04-24,obsr509813,4.0,CHARADRIIFORMES,2018
Solitary Sandpiper,38.5483668,-121.6266346,2018-04-25,obsr236063,4.0,CHARADRIIFORMES,2018
Rose-breasted Grosbeak,38.5271852,-121.8034887,2018-04-26,obsr672779,4.0,PASSERIFORMES,2018
Gray Flycatcher,38.4959689,-121.6941027,2018-05-07,obsr672779,4.0,PASSERIFORMES,2018
Hooded Warbler,38.6828968,-121.8842554,2018-05-21,obsr199985,5.0,PASSERIFORMES,2018
Glossy Ibis,38.6657506,-121.7174863,2018-05-24,obsr247208,5.0,PELECANIFORMES,2018
Gray Catbird,38.5313112,-121.8348147,2018-06-19,obsr14968,5.0,PASSERIFORMES,2018
Franklin's Gull,38.6657506,-121.7174863,2018-06-26,obsr509813,4.0,CHARADRIIFORMES,2018
Indigo Bunting,38.527763,-121.80042,2018-07-26,obsr131186,4.0,PASSERIFORMES,2018
Chestnut-sided Warbler,38.525432,-121.790527,2018-07-31,obsr102568,4.0,PASSERIFORMES,2018
Pectoral Sandpiper,38.551789,-121.6208018,2018-08-16,obsr131624,4.0,CHARADRIIFORMES,2018
Chimney Swift,38.5271852,-121.8034887,2018-08-19,obsr131624,5.0,CAPRIMULGIFORMES,2018
Yellow-billed Cuckoo,38.7618974,-121.6576195,2018-08-20,obsr946849,4.0,CUCULIFORMES,2018
Summer Tanager,38.5271852,-121.8034887,2018-08-23,obsr946849,4.0,PASSERIFORMES,2018
Green-tailed Towhee,38.4959689,-121.6941027,2018-08-25,obsr131624,4.0,PASSERIFORMES,2018
Brewer's Sparrow,38.551789,-121.6208018,2018-09-03,obsr134854,4.0,PASSERIFORMES,2018
Eastern Kingbird,38.5271852,-121.8034887,2018-09-03,obsr672779,5.0,PASSERIFORMES,2018
Townsend's Solitaire,38.551789,-121.6208018,2018-09-09,obsr102568,4.0,PASSERIFORMES,2018
American Redstart,38.5361226,-121.5233669,2018-09-13,obsr672779,4.0,PASSERIFORMES,2018
Tennessee Warbler,38.525432,-121.790527,2018-09-21,obsr946849,4.0,PASSERIFORMES,2018
Blackpoll Warbler,38.525432,-121.790527,2018-09-21,obsr946849,4.0,PASSERIFORMES,2018
Lapland Longspur,38.551789,-121.6208018,2018-10-14,obsr38567,4.0,PASSERIFORMES,2018
Costa's Hummingbird,38.5362617,-121.7259407,2018-10-16,obsr38567,4.0,CAPRIMULGIFORMES,2018
American Golden-Plover,38.551789,-121.6208018,2018-10-20,obsr893864,4.0,CHARADRIIFORMES,2018
Vermilion Flycatcher,38.5930928,-121.6697216,2018-10-20,obsr164607,5.0,PASSERIFORMES,2018
Least Flycatcher,38.6828968,-121.8842554,2018-10-21,obsr130910,4.0,PASSERIFORMES,2018
Northern Shrike,38.6477462,-121.6889048,2018-11-15,obsr475648,4.0,PASSERIFORMES,2018
Lesser Black-backed Gull,38.5904429,-121.6820168,2018-12-26,obsr199985,4.0,CHARADRIIFORMES,2018
Mountain Plover,38.9114333,-121.8411226,2018-12-30,obsr340052,4.0,CHARADRIIFORMES,2018
Mountain Plover,38.915808,-121.843472,2019-01-01,obsr140322,4.0,CHARADRIIFORMES,2019
Lesser Black-backed Gull,38.5904429,-121.6820168,2019-01-01,obsr318705,4.0,CHARADRIIFORMES,2019
Northern Shrike,38.6657506,-121.7174863,2019-01-02,obsr946849,4.0,PASSERIFORMES,2019
Grasshopper Sparrow,38.5078612,-122.0180976,2019-01-02,obsr551844,4.0,PASSERIFORMES,2019
Rough-legged Hawk,38.7621938,-121.9484492,2019-01-04,obsr551844,4.0,ACCIPITRIFORMES,2019
Horned Grebe,38.6657506,-121.7174863,2019-01-08,obsr195829,4.0,PODICIPEDIFORMES,2019
